,AC_POWER
69483,558.9733333333334
69484,553.4333333333332
69485,566.3533333333335
69486,557.9571428571428
69487,542.3785714285715
69488,574.5333333333333
69489,444.91333333333336
69490,560.5071428571428
69491,577.1666666666667
69492,568.6785714285716
69493,575.0666666666667
69494,565.0357142857142
691,283.9428571
69496,548.38
69497,567.86
69498,551.4000000000001
69499,528.9214285714286
69495,558.1933333333335
717,363.9125
718,518.9857143
719,413.02
720,505.2571429
721,500.6625
722,506.8
723,529.9285714
724,456.0125
725,498.5375
69513,658.8066666666666
727,440.0625
69514,645.3800000000001
69515,657.6466666666666
69516,641.7666666666668
69517,634.3066666666667
69518,624.8733333333333
69519,648.8733333333332
69520,628.0533333333334
69521,602.8333333333333
726,486.6285714
716,453.1
714,395.1857143
713,426.7
69500,650.5400000000002
69512,593.46
69511,508.68
69510,655.7466666666667
69509,616.6866666666668
69508,634.4733333333332
69507,646.2933333333332
69506,630.5933333333334
69505,636.7333333333336
69504,644.0600000000001
69503,590.0266666666668
69501,599.28
706,384.8375
707,447.5
708,443.9571429
709,407.1
710,497.4142857
711,413.8571429
712,487.2428571
715,425.3625
69502,635.4333333333332
69524,725.2333333333331
69543,687.2400000000001
69525,669.7866666666665
69526,737.8933333333332
69527,726.9400000000002
69528,719.6933333333334
69529,737.44
69530,725.56
69531,702.5466666666665
69522,741.2266666666667
69523,683.5933333333334
69533,577.0333333333332
69535,751.3733333333333
69536,735.7933333333333
69537,746.9266666666667
69538,728.5200000000001
69539,724.2199999999998
69540,714.4666666666666
69541,741.3399999999998
69542,673.5200000000001
69534,722.1866666666666
69532,745.9000000000002
733,469.2375
738,485.35
739,444.4
749,500.3285714
748,517.5875
747,517.8428571
746,532.9
745,496.4625
743,530.2571429
742,507.6625
741,486.4333333
744,536.425
728,424.1285714
729,488.75
730,489.5875
731,460.675
732,549.4125
734,496.25
735,529.9142857
736,495.4285714
740,523.4125
737,513.1571429
69557,825.8714285714286
69558,807.6666666666665
69559,829.2399999999999
69563,817.2785714285714
69561,793.7785714285714
69562,781.9714285714285
69556,800.1200000000001
69560,807.48
69555,642.3666666666667
69546,796.9357142857142
69553,779.4666666666664
69552,800.1866666666667
69551,815.7933333333334
69550,788.4714285714285
69549,795.1714285714285
69548,815.1733333333334
69547,743.7733333333333
69564,795.1666666666665
69554,825.1666666666665
69565,761.9866666666669
771,292.4375
769,344.2625
766,343.2714286
765,405.675
764,394.9285714
763,338.2
762,354.4571429
761,433.2
760,517.7142857
759,458.25
758,373.0714286
757,402.7125
756,562.6428571
755,477.3428571
754,341.2571429
753,475.3285714
752,545.7285714
751,504.3428571
750,417.7875
767,341.8857143
768,341.5
69544,822.7533333333334
770,414.0714286
